"source_external_id","name","district","address","latitude","longitude","opening_hours","area_sqm","website","image_url"
"H0132-1","GriffKiste Boulderhalle Mittelbiberach","Mittelbiberach","Ziegeleistraße 37, 88441 Mittelbiberach","48.1003690192269","9.76140476759444","","","https://www.griffkiste.com/",""
"H0133-1","Sparkassen Dome Biberach - DAV Kletterzentrum","Biberach an der Riß","Hans-Liebherr-Straße 17, 88400 Biberach an der Riß","48.1007179721346","9.80180605915805","","","http://www.sparkassen-dome-biberach.de/",""
"H0134-1","Extrem Kletterzentrum","Ludwigshafen","Saarburger Str. 25, 67071 Ludwigshafen","49.4945794141322","8.40517007867321","","","http://www.kletterzentrum.de/",""
"H0135-1","Pfalz Rock Kletterzentrum","Frankenthal","Mörscher Str. 89, 67227 Frankenthal","49.5485497899186","8.36338174131795","","","https://pfalz-rock.de/",""
"H0136-1","DAV Kletterzentrum","Kaiserslautern","Ludwig-Thoma-Straße 1, 67663 Kaiserslautern","49.4308507786244","7.75603090357152","","","https://www.kletterzentrum-kl.de/",""
"H0124-2","Rock INN Boulderhalle","Würzburg","Ohmstraße 6, 97076 Würzburg","49.8088236717302","9.97027909830855","","","https://www.rockinn-wuerzburg.de/",""
"H0125-2","DAV Kletterzentrum Würzburg","Würzburg","Weißenburgstraße 55, 97082 Würzburg","49.8066679971421","9.90083134581214","","","https://www.dav-wuerzburg.de/kletterzentrum-wuerzburg",""
"H0126-2","DAV Kletterzentrum Schweinfurt","Schweinfurt","Albin-Kitzinger-Straße 1, 97422 Schweinfurt","50.09800854709","10.4450748776048","","","http://www.kletterzentrum-schweinfurt.de/",""
"H0127-2","Kletterhalle Wimar","Weimar","Kromsdorfer Str. 11, 99427 Weimar","51.0050546433915","11.343046118591","","","http://www.kletterhalle-weimar.de/",""
"H0128-2","Block'n' Roll Pure Climbing e.V.","Weimar","Am Alten Speicher 7, 99427 Weimar","51.0055000344659","11.3258630363218","","","http://blockandroll.de/",""
"H0129-2","Blockpark","Erfurt","Motzstraße 8, 99094 Erfurt","50.9639909748897","11.0147369899553","","","http://www.blockpark.de/",""
"H0130-2","Kletterhalle Nordwand Erfurt","Erfurt","Mittelhäuser Str. 75, 99089 Erfurt","51.0110793460865","11.0193896071408","","","https://www.nordwand-erfurt.de/",""
"H0131-2","Monolith Boulderhalle Münster","Münster","Eulerstraße 2, 48155 Münster","51.9473374985196","7.67038164728641","","","http://monolith-boulderhalle.de/",""
"H0132-2","KletterBar Münster Gmbh","Münster","Grevener Str. 125b, 48159 Münster","51.9927434049812","7.60271641488292","","","https://kletterbar-muenster.de/",""
"H0133-2","boulder factory GbR Münster Boulderhalle","Münster","Rudolf-Diesel-Straße 45, 48157 Münster","52.002728144348","7.66572413168022","","","http://www.boulderfactory.de/",""
"H0134-2","BlocBuster Kletterhalle Paderborn","Paderborn","Schulze-Delitzsch-Straße 17, 33100 Paderborn","51.7524072677194","8.77168657592498","","","https://blocbuster.net/",""
